random34,benign,3
mirai.arm7,ddos,3
mirai_addopaque,ddos,3
mirai_virtualize,ddos,3
mirai_flatten,ddos,3
mirai-bcf,ddos,3
mirai-cfflatten,ddos,3
mirai-sub,ddos,3
upx-mirai,ddos,3
gonnacry,ransomware,3
upx-gonnacry,ransomware,3
aes-upx-gonacry,ransomware,3
aes-gonacry,ransomware,3
gonnacry_Virtualize2,ransomware,3
gonnacry_flatten,ransomware,3
gonnacry_bcf,ransomware,3
gonnacry_sub,ransomware,3
gonnacry_cfflatten,ransomware,3
gonnacry_addopaque,ransomware,3
des-gonnacry,ransomware,3
des-upx-gonnacry,ransomware,3
maK_it4.19.57-v7+.ko,rootkit,3
kisni-4.19.57-v7+.ko,rootkit,3
bashlite,ddos,3
bashlite_bcf,ddos,3
bashlite_flatten,ddos,3
bashlite_upx,ddos,3
bashlite_addopaque,ddos,3
bashlite_cfflatten,ddos,3
bashlite_sub,ddos,3
bashlite_virtualize,ddos,3
